evolution_id,name,name_zh,slug,date_range_start,date_range_end,exact_release_date,category,status,free,repeatable,url,popular_url,popular_status,popular_player_count
452,Finesse Shot,,finesse-shot,2025-09-18,2026-02-14,,REWARDS,expired,true,true,https://www.futbin.com/26/evolutions/452/finesse-shot,https://www.futbin.com/26/popular/evolutions?evo_id=452,no-popular-players,0
453,Hold & Play,,hold--play,2025-09-18,2026-02-14,,EVOLUTIONS,expired,true,2,https://www.futbin.com/26/evolutions/453/hold--play,https://www.futbin.com/26/popular/evolutions?evo_id=453,no-popular-players,0
454,Future Stars,,future-stars,2025-09-18,2026-02-14,,COSMETICS,expired,,2,https://www.futbin.com/26/evolutions/454/future-stars,https://www.futbin.com/26/popular/evolutions?evo_id=454,no-popular-players,0
455,The Prince from Arenys,,the-prince-from-arenys,2025-09-18,2026-02-14,,EVOLUTIONS,expired,,true,https://www.futbin.com/26/evolutions/455/the-prince-from-arenys,https://www.futbin.com/26/popular/evolutions?evo_id=455,no-popular-players,0
456,Pinged Pass,,pinged-pass,2025-09-18,2026-02-14,,REWARDS,expired,true,true,https://www.futbin.com/26/evolutions/456/pinged-pass,https://www.futbin.com/26/popular/evolutions?evo_id=456,no-popular-players,0
457,Make the Link,,make-the-link,2025-09-18,2026-02-14,,EVOLUTIONS,expired,true,10,https://www.futbin.com/26/evolutions/457/make-the-link,https://www.futbin.com/26/popular/evolutions?evo_id=457,no-popular-players,0
458,The Duck,,the-duck,2025-09-18,2026-02-14,,EVOLUTIONS,expired,true,true,https://www.futbin.com/26/evolutions/458/the-duck,https://www.futbin.com/26/popular/evolutions?evo_id=458,no-popular-players,0
459,Shove Off,,shove-off,2025-09-18,2026-02-14,,EVOLUTIONS,expired,true,2,https://www.futbin.com/26/evolutions/459/shove-off,https://www.futbin.com/26/popular/evolutions?evo_id=459,no-popular-players,0
460,That Ball is Mine,,that-ball-is-mine,2025-09-18,2026-02-14,,EVOLUTIONS,expired,true,2,https://www.futbin.com/26/evolutions/460/that-ball-is-mine,https://www.futbin.com/26/popular/evolutions?evo_id=460,no-popular-players,0
461,Crowned Maestro,,crowned-maestro,2025-09-18,2026-02-14,,EVOLUTIONS,expired,,true,https://www.futbin.com/26/evolutions/461/crowned-maestro,https://www.futbin.com/26/popular/evolutions?evo_id=461,no-popular-players,0
462,GK Roles++,,gk-roles,2025-09-18,2026-02-14,,ROLES,expired,,5,https://www.futbin.com/26/evolutions/462/gk-roles,https://www.futbin.com/26/popular/evolutions?evo_id=462,no-popular-players,0
463,LB Roles++,,lb-roles,2025-09-18,2026-02-14,,ROLES,expired,,5,https://www.futbin.com/26/evolutions/463/lb-roles,https://www.futbin.com/26/popular/evolutions?evo_id=463,no-popular-players,0
464,RB Roles++,,rb-roles,2025-09-18,2026-02-14,,ROLES,expired,,5,https://www.futbin.com/26/evolutions/464/rb-roles,https://www.futbin.com/26/popular/evolutions?evo_id=464,no-popular-players,0
465,CB Roles++,,cb-roles,2025-09-18,2026-02-14,,ROLES,expired,,5,https://www.futbin.com/26/evolutions/465/cb-roles,https://www.futbin.com/26/popular/evolutions?evo_id=465,no-popular-players,0
466,CDM Roles++,,cdm-roles,2025-09-18,2026-02-14,,ROLES,expired,,5,https://www.futbin.com/26/evolutions/466/cdm-roles,https://www.futbin.com/26/popular/evolutions?evo_id=466,no-popular-players,0
